names,average_rating_3.63,average_rating_3.73,average_rating_3.79,average_rating_3.98,average_rating_4.07,average_rating_4.10,average_rating_4.12,average_rating_4.19,average_rating_4.20,average_rating_4.21,average_rating_4.22,average_rating_4.23,average_rating_4.38,average_rating_4.40,country_code_US,edition_information_,edition_information_Cappelen Damm,format_Hardcover,format_Paperback,is_ebook_false,isbn_,isbn_0141982691,isbn_0316184136,isbn_0394755359,isbn_0571211305,isbn_0808595040,isbn_0814251870,isbn_0871401541,isbn_1449486797,isbn_1455519146,isbn_1502784270,isbn_1532913680,isbn_1905233299,isbn_1934103276,isbn_1937378985,isbn_3627100247,language_code_,language_code_en-US,language_code_eng,language_code_ger,language_code_nor,num_pages_,num_pages_103,num_pages_111,num_pages_114,num_pages_128,num_pages_156,num_pages_160,num_pages_204,num_pages_208,num_pages_240,num_pages_256,num_pages_349,num_pages_37,num_pages_64,num_pages_67,num_pages_716,num_pages_78,publication_day_,publication_day_1,publication_day_12,publication_day_17,publication_day_23,publication_day_28,publication_day_29,publication_day_3,publication_day_4,publication_month_,publication_month_10,publication_month_11,publication_month_12,publication_month_3,publication_month_4,publication_month_7,publication_month_8,publication_year_1976,publication_year_1981,publication_year_1987,publication_year_1991,publication_year_2005,publication_year_2007,publication_year_2011,publication_year_2012,publication_year_2013,publication_year_2014,publication_year_2015,publication_year_2016,publication_year_2017,publisher_Ahsahta Press,publisher_Andrews McMeel Publishing,publisher_Cappelen Damm,publisher_CreateSpace,publisher_Createspace,"publisher_Farrar, Straus and Giroux",publisher_Flipped Eye,publisher_Frankfurter Verlagsanstalt,publisher_Grand Central Publishing,"publisher_Little, Brown",publisher_Liveright,publisher_Ohio State University Press,publisher_Penguin Books Ltd,publisher_Tiden,publisher_Turtleback,publisher_University Of Akron Press,publisher_Vintage,ratings_count_113,ratings_count_11319,ratings_count_16574,ratings_count_26540,ratings_count_409,ratings_count_443,ratings_count_60528,ratings_count_63,ratings_count_6461,ratings_count_7,ratings_count_77,ratings_count_7830,ratings_count_7865,ratings_count_83,ratings_count_9,ratings_count_92450,ratings_count_95,title_Antidote,title_Dette skjer ikke,title_Drei Frauen Three Women,"title_Egghead: Or, You Can't Survive on Ideas Alone",title_Feminine Gospels: Poems,title_Girl-King,title_If I'm Scared We Can't Win,title_Milk and Honey,title_My Love Is A Dead Arctic Explorer,title_Ren Poesi,title_Selected Poems,title_Teaching My Mother How to Give Birth,title_The Collected Poems,title_The Complete Poems of Emily Dickinson,title_The Princess Saves Herself in this One,title_The Sun and Her Flowers,title_Ultramarine: Poems,title_without_series_Antidote,title_without_series_Dette skjer ikke,title_without_series_Drei Frauen Three Women,"title_without_series_Egghead: Or, You Can't Survive on Ideas Alone",title_without_series_Feminine Gospels: Poems,title_without_series_Girl-King,title_without_series_If I'm Scared We Can't Win,title_without_series_Milk and Honey,title_without_series_My Love Is A Dead Arctic Explorer,title_without_series_Ren Poesi,title_without_series_Selected Poems,title_without_series_Teaching My Mother How to Give Birth,title_without_series_The Collected Poems,title_without_series_The Complete Poems of Emily Dickinson,title_without_series_The Princess Saves Herself in this One,title_without_series_The Sun and Her Flowers,title_without_series_Ultramarine: Poems
112204,,,,,,,,,,X,,,,,X,X,,,X,X,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,
13376363,,,,,,,,,,,,,X,,X,X,,,X,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,
13509974,,,,,,,,X,,,,,,,X,X,,,X,X,,,,,,,,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,
1701063,,,,,,,,,,,X,,,,X,X,,X,,X,,,,,,,,,,,,,,,,X,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
17333426,,,,,,,X,,,,,,,,X,X,,X,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
17623481,,,,,,,,,,,,,,X,X,X,,,X,X,,,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
20522276,,,,,X,,,,,,,,,,X,X,,,X,X,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
23513349,,,,,,,,,,,,X,,,X,X,,,X,X,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,
26599,,,,,,,,,,,X,,,,X,X,,,X,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,
27407348,,,,,,,,,,,X,,,,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,
30075802,,,,X,,,,,,,,,,,X,X,,,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,
30303794,X,,,,,,,,,,,,,,X,X,,,X,X,,X,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,
31426,,,,,,,,,X,,,,,,X,X,,X,,X,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,
34743858,,,X,,,,,,,,,,,,X,X,,X,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
35606560,,,,,,,,,,X,,,,,X,X,,,X,X,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,
409967,,X,,,,,,,,,,,,,X,X,,,X,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
98712,,,,,,X,,,,,,,,,X,X,,,X,X,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X
R = X = {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,