names,country_code_US,edition_information_,edition_information_8th,edition_information_Deluxe Edition,edition_information_The Viking Portable Library,format_,format_Hardcover,format_Paperback,is_ebook_false,language_code_,language_code_en-US,language_code_eng,publication_month_,publication_month_1,publication_month_10,publication_month_11,publication_month_12,publication_month_2,publication_month_4,publication_month_5,publication_month_6,publication_month_7,publication_month_8,publication_month_9,publication_year_,publication_year_1967,publication_year_1976,publication_year_1978,publication_year_1981,publication_year_1984,publication_year_1990,publication_year_1991,publication_year_1994,publication_year_1995,publication_year_1996,publication_year_1997,publication_year_1999,publication_year_2002,publication_year_2005,publication_year_2006,publication_year_2007,publication_year_2008,publication_year_2010,publication_year_2013,publisher_,publisher_Cambridge University Press,publisher_City Lights Publishers,"publisher_Doubleday & Company, Inc.",publisher_Everyman's Library,"publisher_Farrar, Straus and Giroux",publisher_Harper Perennial,publisher_Harpercollins Childrens Books,publisher_Library of America,"publisher_Little, Brown",publisher_Mariner Books,publisher_New Directions,publisher_New Directions Publishing Corporation,publisher_Penguin Books,publisher_Penguin Classics,publisher_Phoenix (an Imprint of The Orion Publishing Group Ltd ),publisher_Rupa & Co,publisher_Simon & Schuster,publisher_Texture Press,publisher_Vintage,publisher_W. W. Norton & Company,publisher_W.W. Norton,title_Collected Poems,"title_Collected Poems, Prose, and Plays",title_Hamlet,title_Leaves of Grass,title_Paterson,title_Poems for the Writing: Prompts for Poets,title_Poetry and Prose,"title_Portions from a Wine-Stained Notebook: Uncollected Stories and Essays, 1944-1990",title_Selected Poems,title_Sonnets from the Portuguese,title_The Aeneid,title_The Cantos,title_The Collected Poems,"title_The Collected Poems, Vol. 2: 1939-1962",title_The Complete Poems of Emily Dickinson,title_The Complete Stories and Poems,title_The Divine Comedy,title_The Dream Songs,"title_The Fact of a Doorframe: Poems Selected and New, 1950-1984",title_The Iliad,"title_The Norton Anthology of English Literature, Volume 1: The Middle Ages through the Restoration & the Eighteenth Century","title_The Norton Anthology of English Literature, Volume 2: The Romantic Period through the Twentieth Century",title_The Odyssey,title_The Portable Dorothy Parker,title_The Prophet,title_Where the Sidewalk Ends,title_without_series_Collected Poems,"title_without_series_Collected Poems, Prose, and Plays",title_without_series_Hamlet,title_without_series_Leaves of Grass,title_without_series_Paterson,title_without_series_Poems for the Writing: Prompts for Poets,title_without_series_Poetry and Prose,"title_without_series_Portions from a Wine-Stained Notebook: Uncollected Stories and Essays, 1944-1990",title_without_series_Selected Poems,title_without_series_Sonnets from the Portuguese,title_without_series_The Aeneid,title_without_series_The Cantos,title_without_series_The Collected Poems,"title_without_series_The Collected Poems, Vol. 2: 1939-1962",title_without_series_The Complete Poems of Emily Dickinson,title_without_series_The Complete Stories and Poems,title_without_series_The Divine Comedy,title_without_series_The Dream Songs,"title_without_series_The Fact of a Doorframe: Poems Selected and New, 1950-1984",title_without_series_The Iliad,"title_without_series_The Norton Anthology of English Literature, Volume 1: The Middle Ages through the Restoration & the Eighteenth Century","title_without_series_The Norton Anthology of English Literature, Volume 2: The Romantic Period through the Twentieth Century",title_without_series_The Odyssey,title_without_series_The Portable Dorothy Parker,title_without_series_The Prophet,title_without_series_Where the Sidewalk Ends
1049695,X,X,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
112204,X,X,,,,,,X,X,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
12210,X,X,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
125209,X,X,,,,X,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
12914,X,X,,,,,,X,X,,,X,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
133380,X,X,,,,,,X,X,X,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
1371,X,,,X,,X,,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
1381,X,X,,,,,,X,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
1420,X,X,,,,,,X,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
150236,X,X,,,,,,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
154387,X,X,,,,X,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
19091478,X,X,,,,,,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
195211,X,X,,,,,,X,X,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
23919,X,X,,,,X,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
2547,X,X,,,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,
269589,X,X,,,,,,X,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
27494,X,X,,,,,,X,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
30119,X,X,,,,,X,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
3216467,X,X,,,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
386270,X,X,,,,,,X,X,,X,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
45287,X,X,,,,X,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
46231,X,,,,X,,,X,X,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
47163,X,,X,,,,,X,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
47164,X,,X,,,,,X,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
6656,X,X,,,,,X,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
75504,X,X,,,,,,X,X,,,X,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
763426,X,X,,,,,,X,X,,,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
90661,X,X,,,,,,X,X,X,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
R = X = {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,