names,country_code_US,edition_information_,edition_information_Deluxe Edition,edition_information_German-English Edition,format_,format_Hardcover,format_Mass Market Paperback,format_Paperback,is_ebook_false,language_code_,language_code_eng,publication_day_,publication_day_1,publication_day_16,publication_day_27,publication_day_29,publication_day_30,publication_day_4,publication_day_9,publication_month_,publication_month_1,publication_month_10,publication_month_11,publication_month_12,publication_month_2,publication_month_4,publication_month_6,publication_month_7,publication_month_8,publication_year_1976,publication_year_1983,publication_year_1988,publication_year_1990,publication_year_1995,publication_year_1999,publication_year_2003,publication_year_2005,publication_year_2006,publisher_,publisher_Bantam Classics,publisher_Cambridge University Press,publisher_David R. Godine Publisher,publisher_Everyman's Library,publisher_HarperCollins Publishers,"publisher_Little, Brown",publisher_Modern Library,publisher_Penguin Classics,publisher_Vintage,title_Complete Works of Oscar Wilde,title_Faust: First Part,title_Hamlet,title_Inferno (The Divine Comedy #1),title_Les Fleurs du Mal,title_Paradise Lost,title_The Aeneid,title_The Canterbury Tales,title_The Complete Poems of Emily Dickinson,title_The Divine Comedy,title_The Iliad,title_The Odyssey,title_without_series_Complete Works of Oscar Wilde,title_without_series_Faust: First Part,title_without_series_Hamlet,title_without_series_Inferno (The Divine Comedy #1),title_without_series_Les Fleurs du Mal,title_without_series_Paradise Lost,title_without_series_The Aeneid,title_without_series_The Canterbury Tales,title_without_series_The Complete Poems of Emily Dickinson,title_without_series_The Divine Comedy,title_without_series_The Iliad,title_without_series_The Odyssey
112204,X,X,,,,,,X,X,,X,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,X,,,
12914,X,X,,,,,,X,X,,X,,,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,,
1371,X,,X,,X,,,,X,,X,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,
1381,X,X,,,,,,X,X,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,X
1420,X,X,,,,,,X,X,,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,
14706,X,,,X,,,,X,X,,X,,X,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,
15645,X,X,,,,,,X,X,X,,,,,,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,X,,,,,,,,
15997,X,X,,,,,,X,X,,X,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,,,,
203220,X,X,,,,,,X,X,,X,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,
2696,X,X,,,,,,X,X,,X,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,X,,,,
5289,X,X,,,,,X,,X,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,
6656,X,X,,,,X,,,X,,X,,X,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,
R = X = {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,